Index,Artist,Title,Mood,Link
ML1,Usher,There Goes My Baby,relaxed,https://genius.com/Usher-There-Goes-My-Baby-lyrics
ML2,Da'Ville,Always on My Mind,relaxed,https://genius.com/DaVille-Always-on-My-Mind-lyrics
ML3,Rihanna,Rockstar 101 [Dave Aude Radio],relaxed,https://genius.com/Rihanna-Rockstar-101-Dave-Aude-Radio-lyrics
ML4,J. Holiday,Bed,relaxed,https://genius.com/J-Holiday-Bed-lyrics
ML5,Morgan Heritage,Don't Haffi Dread,angry,https://genius.com/Morgan-Heritage-Dont-Haffi-Dread-lyrics
ML6,Whitney Houston,My Love Is Your Love,happy,https://genius.com/Whitney-Houston-My-Love-Is-Your-Love-lyrics
ML7,Serani,Study People,angry,https://genius.com/Serani-Study-People-lyrics
ML8,Austra,Spellwork,angry,https://genius.com/Austra-Spellwork-lyrics
ML9,Coro,Can't Let You Go,happy,https://genius.com/Coro-Cant-Let-You-Go-lyrics
ML10,Beenie Man,Slam,relaxed,https://genius.com/Beenie-Man-Slam-lyrics
ML11,Deitrick Haddon,Love Him Like I Do ,happy,https://genius.com/Deitrick-Haddon-Love-Him-Like-I-Do-lyrics
ML12,The Jackson 5,ABC,relaxed,https://genius.com/The-Jackson-5-ABC-lyrics
ML13,Maysa,The Lady In My Life,happy,https://genius.com/Maysa-The-Lady-In-My-Life-lyrics
ML14,Ryan Shaw,We Got Love,happy,https://genius.com/Ryan-Shaw-We-Got-Love-lyrics
ML15,The Paris Sisters,I Love How You Love Me,happy,https://genius.com/The-Paris-Sisters-I-Love-How-You-Love-Me-lyrics
ML16,New Direction,I Came To Jesus,sad,https://genius.com/New-Direction-I-Came-To-Jesus-lyrics
ML17,Kurt carr,God Great God,happy,https://genius.com/Kurt-carr-God-Great-God-lyrics
ML18,Kenny Lattimore,And I Love Her,happy,https://genius.com/Kenny-Lattimore-And-I-Love-Her-lyrics
ML19,Jordin Sparks,Battlefield,angry,https://genius.com/Jordin-Sparks-Battlefield-lyrics
ML20,Spoon,You Got Yr. Cherry Bomb,angry,https://genius.com/Spoon-You-Got-Yr-Cherry-Bomb-lyrics
ML21,Tarralyn Ramsey,Peace Of God,relaxed,http://www.songlyrics.com/tarralyn-ramsey/Peace-Of-God-lyrics
ML22,Tyrese,One,relaxed,https://genius.com/Tyrese-One-lyrics
ML23,Dr. Dog,Where'd All The Time Go?,sad,https://genius.com/Dr-Dog-Whered-All-The-Time-Go-lyrics
ML24,Tarralyn Ramsey,Unconditional Love,happy,https://genius.com/Tarralyn-Ramsey-Unconditional-Love-lyrics
ML25,Kool & The Gang,Steppin' Into Love,happy,https://genius.com/Kool-and-The-Gang-Steppin-Into-Love-lyrics
ML26,Anders Osborne,Darkness At The Bottom,sad,http://www.songlyrics.com/anders-osborne/Darkness-At-The-Bottom-lyrics
ML27,The Rolling Stones,Gimme Shelter,angry,https://genius.com/The-Rolling-Stones-Gimme-Shelter-lyrics
ML28,The Rolling Stones,Happy,happy,https://genius.com/The-Rolling-Stones-Happy-lyrics
ML29,Bobby Bare,Detroit City,relaxed,https://genius.com/Bobby-Bare-Detroit-City-lyrics
