word,relaxed,angry,happy,sad
yeah,345,429,493,206
right,269,245,283,166
usher,2,1,1,1
baby,1113,259,1235,132
okay,7,11,12,14
man,251,166,216,129
there,441,418,630,288
go,1020,851,983,790
my,2001,1436,2912,1122
you,5957,6568,12058,4289
do,1575,1556,2374,1170
not,1812,2304,2759,1688
know,756,756,1528,575
how,319,169,422,232
good,443,121,404,49
it,1933,2422,2831,1539
feel,293,333,519,209
to,3119,3570,4281,2332
call,97,124,102,184
girl,1108,69,198,194
love,858,582,10386,107
everything,149,135,175,97
oooh,22,6,15,2
look,216,241,247,175
at,299,213,288,175
bet,5,9,8,13
be,5384,5104,7506,3912
that,1254,1180,1966,808
i,7833,7443,13765,6532
check,14,12,27,14
out,341,463,394,338
when,562,530,722,479
put,64,90,68,42
heel,2,3,4,3
on,1098,1293,1030,794
swear,14,17,10,15
body,24,97,40,25
s,1640,1984,2394,1330
so,809,769,1326,789
perfect,24,18,14,4
work,50,47,35,46
wooo,4,2,2,1
the,4184,5288,4681,3904
way,366,361,593,259
pok,2,1,1,3
give,266,222,661,102
something,94,79,127,94
please,113,39,141,95
believe,106,166,192,77
we,1156,1388,2137,941
twerk,3,1,1,1
by,188,184,218,117
end,37,104,68,97
of,1410,1523,1874,953
night,415,190,196,230
have,893,1057,1653,808
wait,112,78,141,146
all,983,947,1465,570
day,322,192,382,190
wrap,28,4,23,10
hand,90,98,123,102
around,107,119,165,137
waist,5,3,1,8
and,2502,2498,3808,2025
kiss,45,84,397,28
face,100,84,94,63
would,330,316,575,201
trade,5,4,3,2
this,553,775,935,455
feeling,63,81,89,70
for,674,943,1552,581
nothing,93,178,211,95
will,1226,1363,1867,681
sit,80,22,16,48
here,287,211,249,133
long,204,76,167,168
as,279,246,282,158
take,573,530,466,376
get,945,1047,1043,808
alone,159,100,120,110
but,500,682,661,509
soon,48,23,30,16
come,796,586,677,332
walk,115,93,81,111
hear,107,115,140,113
say,391,498,708,328
chill,4,4,4,1
whenever,17,5,39,16
see,532,422,648,396
in,1371,1409,2332,1094
place,70,60,103,90
like,520,650,957,461
a,2515,2819,3116,2222
movie,16,4,3,7
oowee,2,1,1,1
waterfall,5,1,6,1
hair,32,17,10,10
fall,88,176,232,362
down,355,518,288,567
can,815,935,1430,742
taste,16,29,17,13
no,457,813,790,1318
need,267,268,733,170
creep,23,5,2,13
cause,197,326,426,175
ashamed,2,3,1,7
name,110,44,130,96
even,72,137,104,42
minute,15,6,14,5
first,59,29,51,31
time,440,318,492,572
every,193,147,300,94
together,76,56,171,40
loving,37,32,90,7
better,82,144,124,84
than,99,99,259,50
anything,31,38,55,31
heart,217,380,880,90
ring,37,51,41,13
promise,38,30,52,22
away,279,397,268,243
change,87,74,126,62
ahhhhhhhh,2,1,1,1
om,2,1,1,1
mind,185,140,132,91
yea,14,2,18,2
verse1,2,1,1,1
thinkin,15,10,12,5
about,183,129,321,84
miss,38,17,73,64
ever,107,94,318,61
since,29,24,36,34
live,128,169,212,117
without,95,62,275,70
chorus,29,21,30,26
always,136,182,367,81
verse2,2,1,1,1
now,434,571,620,333
with,593,648,1189,452
never,319,349,624,231
remain,2,10,10,10
same,99,104,90,59
again,122,209,247,108
repeat,17,5,35,9
verse3,2,1,1,1
if,442,386,609,311
today,11,39,33,22
hope,61,42,131,46
u,12,7,3,7
tomorrow,32,20,37,25
let,473,490,635,307
real,80,55,222,36
want,675,668,1095,339
fool,23,39,56,33
myself,64,91,97,70
belong,24,14,54,27
one,369,429,733,406
else,39,28,57,46
uh,24,141,43,27
oh,689,625,930,490
tell,216,271,480,213
ya,71,81,65,193
up,427,505,376,436
club,5,12,3,4
post,2,3,1,2
back,232,240,179,216
bad,40,76,51,42
rocking,3,1,1,1
skirt,2,6,2,1
rock,132,56,83,80
middle,7,17,8,8
finger,17,25,8,13
really,95,55,233,53
fuck,8,76,13,42
these,86,127,70,72
diamond,48,7,22,15
chain,14,13,10,13
make,344,362,679,274
sure,72,35,68,34
picture,5,8,11,71
fame,8,13,158,1
what,395,590,883,457
only,158,184,360,148
thing,202,143,359,107
black,48,44,17,75
guitar,9,7,7,2
rockstar,15,1,10,1
hey,138,144,101,86
big,47,32,40,54
city,58,38,6,19
bright,87,14,24,3
light,137,185,117,110
sleep,287,16,18,52
six,18,19,5,4
inch,2,7,9,2
walker,2,1,1,2
shit,2,16,5,23
talker,2,1,1,1
play,63,69,96,46
victim,5,22,1,9
rather,8,30,15,15
stalker,2,1,1,1
disobey,2,1,1,1
law,5,19,8,9
frisk,2,1,1,1
panty,2,2,1,1
bra,2,1,1,3
wild,16,15,9,7
crazy,36,35,63,22
house,204,26,18,23
white,171,40,20,12
jacket,4,3,1,1
wo,40,22,53,23
sign,24,19,24,32
j,2,1,1,1
holiday,6,3,50,1
oo,11,1,8,1
bed,109,23,15,28
into,91,196,114,114
victoria,2,1,1,2
secret,15,21,11,10
