Word,Method,Pos,Count
yeah,upos,INTJ,2000
yeah,xpos,UH,2000
right,upos,ADV,2000
right,upos,INTJ,2000
right,upos,ADJ,1992
right,upos,NOUN,1917
right,upos,VERB,1079
right,xpos,RB,2000
right,xpos,UH,2000
right,xpos,JJ,1992
right,xpos,NN,1917
right,xpos,VB,1079
usher,upos,NOUN,2000
usher,xpos,NN,2000
baby,upos,NOUN,2000
baby,upos,ADJ,1973
baby,upos,VERB,1929
baby,upos,PROPN,1529
baby,xpos,NN,2000
baby,xpos,NNS,1979
baby,xpos,JJ,1973
baby,xpos,VB,1929
baby,xpos,NNP,1529
okay,upos,INTJ,2000
okay,upos,ADJ,1995
okay,xpos,UH,2000
okay,xpos,JJ,1995
man,upos,NOUN,2000
man,upos,VERB,1198
man,xpos,NN,2000
man,xpos,NNS,1958
man,xpos,VBP,1198
there,upos,PRON,2000
there,upos,ADV,1997
there,upos,VERB,1777
there,xpos,EX,2000
there,xpos,RB,1997
there,xpos,VBZ,1777
there,xpos,VBN,1390
there,xpos,PRP$,1381
go,upos,VERB,2000
go,upos,AUX,2000
go,upos,NOUN,1994
go,upos,PART,1979
go,upos,PRON,566
go,upos,INTJ,470
go,xpos,VBZ,2000
go,xpos,MD,2000
go,xpos,VBD,1999
go,xpos,VBG,1996
go,xpos,VB,1995
go,xpos,VBP,1994
go,xpos,NN,1994
go,xpos,VBN,1992
go,xpos,TO,1979
go,xpos,PRP,566
go,xpos,UH,470
my,upos,PRON,2000
my,upos,INTJ,1802
my,xpos,PRP$,2000
my,xpos,UH,1802
you,upos,PRON,2000
you,upos,AUX,1992
you,upos,PART,1609
you,xpos,PRP,2000
you,xpos,PRP$,2000
you,xpos,MD,1992
you,xpos,TO,1609
you,xpos,VBD,714
do,upos,AUX,2000
do,upos,VERB,2000
do,upos,NOUN,869
do,xpos,VBP,2000
do,xpos,VB,1996
do,xpos,VBD,1995
do,xpos,VBN,1991
do,xpos,VBZ,1982
do,xpos,VBG,1940
do,xpos,NN,869
not,upos,PART,2000
not,upos,ADV,1958
not,xpos,RB,2000
not,xpos,TO,1049
know,upos,VERB,2000
know,xpos,VB,2000
know,xpos,VBG,1996
know,xpos,VBP,1994
know,xpos,VBN,1992
know,xpos,VBD,1989
know,xpos,VBZ,1962
how,upos,ADV,2000
how,upos,VERB,1588
how,upos,NOUN,506
how,xpos,WRB,2000
how,xpos,VB,1588
how,xpos,VBZ,1203
how,xpos,NN,506
good,upos,ADJ,2000
good,upos,NOUN,1825
good,xpos,JJ,2000
good,xpos,NN,1825
it,upos,PRON,2000
it,upos,NOUN,1716
it,upos,PUNCT,1716
it,upos,X,1716
it,upos,PROPN,1700
it,upos,ADP,1699
it,xpos,PRP,2000
it,xpos,NN,1716
it,xpos,'',1716
it,xpos,FW,1716
it,xpos,NNP,1700
it,xpos,IN,1699
feel,upos,VERB,2000
feel,upos,NOUN,1991
feel,xpos,VBZ,2000
feel,xpos,VB,2000
feel,xpos,VBP,2000
feel,xpos,VBG,1998
feel,xpos,NN,1991
feel,xpos,VBD,1979
feel,xpos,VBN,1875
to,upos,PART,2000
to,upos,ADP,2000
to,upos,PUNCT,1965
to,upos,SCONJ,1940
to,upos,SYM,1886
to,upos,X,1129
to,upos,ADV,182
to,xpos,TO,2000
to,xpos,IN,2000
to,xpos,.,1965
to,xpos,RB,1887
to,xpos,NFP,1886
to,xpos,GW,1129
to,xpos,AFX,1015
call,upos,VERB,2000
call,upos,NOUN,1993
call,xpos,VB,2000
call,xpos,VBG,2000
call,xpos,NN,1993
call,xpos,VBP,1948
call,xpos,VBN,1934
call,xpos,VBD,1888
call,xpos,VBZ,1845
call,xpos,NNS,1644
girl,upos,NOUN,2000
girl,upos,VERB,1895
girl,xpos,NN,2000
girl,xpos,NNS,1991
girl,xpos,VB,1895
love,upos,VERB,2000
love,upos,NOUN,2000
love,upos,ADJ,206
love,xpos,VBG,2000
love,xpos,VBP,2000
love,xpos,NN,2000
love,xpos,VB,1992
love,xpos,VBZ,1992
love,xpos,VBD,1977
love,xpos,VBN,1972
love,xpos,NNS,1561
love,xpos,JJ,206
everything,upos,PRON,2000
everything,xpos,NN,2000
oooh,upos,INTJ,2000
oooh,xpos,UH,2000
look,upos,VERB,2000
look,upos,NOUN,1987
look,xpos,VB,2000
look,xpos,VBG,1998
look,xpos,NN,1987
