word,relaxed,angry,happy,sad
yeah,307,360,329,183
right,222,204,200,145
usher,2,1,1,1
baby,897,305,893,175
okay,4,9,9,14
man,185,136,146,81
go,826,809,671,714
know,633,665,1042,565
good,275,135,249,86
feel,245,308,387,219
call,103,123,68,101
girl,721,151,135,249
love,1144,1016,6858,522
everything,105,117,118,86
oooh,20,6,14,4
look,163,218,163,159
bet,6,9,6,6
check,11,11,26,10
put,52,79,44,39
heel,5,2,3,1
swear,15,11,7,8
body,27,99,26,21
perfect,15,19,13,2
work,47,44,25,38
wooo,2,2,3,3
way,274,312,431,257
poke,2,1,1,3
give,278,186,417,92
something,63,67,80,81
please,87,59,116,62
believe,83,126,151,58
twerk,3,1,1,1
end,33,77,50,49
night,309,185,137,192
wait,94,81,87,124
day,297,196,186,165
wrap,15,9,14,18
hand,84,96,89,80
around,95,89,108,106
waist,5,1,1,8
kiss,40,73,306,61
face,97,72,64,54
would,288,262,368,248
trade,5,20,2,3
feeling,34,55,44,37
nothing,109,139,121,105
sit,68,28,11,24
long,175,62,116,124
take,479,502,338,327
get,786,896,740,715
alone,144,80,96,93
soon,46,20,16,11
come,638,465,474,298
walk,92,70,46,95
hear,111,77,104,76
say,307,442,451,322
chill,4,5,3,1
whenever,18,5,35,14
see,428,357,440,367
place,61,69,64,56
like,481,566,673,387
movie,9,10,2,3
oowee,2,1,1,1
waterfall,5,3,1,1
hair,26,17,5,9
fall,71,162,120,301
taste,13,30,13,11
need,247,192,500,150
creep,12,4,1,12
cause,172,275,278,186
ashamed,2,5,1,5
name,169,43,61,61
even,59,120,66,48
minute,14,2,9,2
first,52,27,35,31
time,385,281,328,479
every,165,118,204,92
together,75,58,87,47
loving,21,4,32,4
better,54,154,63,76
anything,38,18,38,29
heart,211,340,561,133
ring,26,54,12,15
promise,37,24,28,19
away,242,309,176,165
change,62,80,77,35
ahhhhhhhh,2,1,1,1
om,2,1,1,1
mind,144,121,99,78
yea,14,2,16,1
thinkin,13,9,8,5
miss,51,12,47,49
ever,81,89,209,86
since,25,18,24,28
live,122,114,152,108
without,95,59,128,66
always,129,139,276,66
never,312,282,422,207
remain,2,6,4,7
today,13,26,27,37
hope,64,36,76,39
u,12,7,9,2
tomorrow,32,13,17,30
let,410,404,399,294
real,40,50,171,56
want,492,523,719,439
fool,21,29,38,22
belong,24,15,40,26
one,356,384,444,345
else,37,30,38,44
uh,18,37,31,137
oh,595,574,590,317
tell,211,225,320,227
ya,72,86,54,156
club,3,10,3,4
post,3,2,1,2
back,194,191,145,177
bad,26,56,44,35
rock,85,66,66,78
skirt,3,4,1,3
middle,10,8,5,9
finger,13,20,5,7
really,76,69,172,50
fuck,8,63,13,25
diamond,47,8,15,10
chain,4,11,10,23
make,313,328,432,253
sure,50,30,53,32
picture,5,8,7,69
fame,8,7,57,2
thing,195,122,247,114
black,46,35,9,27
guitar,8,7,4,1
rockstar,15,1,10,1
hey,92,89,71,83
big,39,33,19,27
city,43,31,4,19
bright,59,14,13,9
light,102,194,62,73
sleep,197,48,13,54
six,13,18,4,2
inch,6,6,5,2
walker,2,1,1,1
shit,2,11,5,18
talker,2,1,1,1
play,57,54,62,49
victim,4,15,1,7
rather,9,32,7,11
stalker,2,1,1,1
disobey,2,1,1,1
law,14,15,3,6
frisk,2,1,1,1
panties,2,2,1,1
bra,2,1,1,3
wild,17,13,7,3
crazy,32,25,53,26
house,160,23,11,12
white,113,35,10,14
jacket,2,3,1,1
sign,29,18,17,33
j,2,3,1,1
holiday,6,30,14,2
oo,9,1,7,2
bed,89,30,9,23
