Index,actual mood,predicted mood
ML1,relaxed,relaxed
ML2,relaxed,happy
ML3,relaxed,relaxed
ML4,relaxed,relaxed
ML5,angry,angry
ML6,happy,happy
ML7,angry,angry
ML8,angry,angry
ML9,happy,happy
ML10,relaxed,relaxed
ML11,happy,happy
ML12,relaxed,relaxed
ML13,happy,happy
ML14,happy,happy
ML15,happy,happy
ML16,sad,sad
ML17,happy,happy
ML18,happy,happy
ML19,angry,angry
ML20,angry,angry
ML21,relaxed,relaxed
ML22,relaxed,relaxed
ML23,sad,sad
ML24,happy,happy
ML25,happy,happy
ML26,sad,sad
ML27,angry,angry
ML28,happy,happy
ML29,relaxed,relaxed
ML30,relaxed,relaxed
ML31,sad,sad
ML32,relaxed,relaxed
ML33,relaxed,relaxed
ML34,sad,sad
ML35,relaxed,relaxed
ML36,happy,happy
ML37,angry,angry
ML38,happy,happy
ML39,happy,happy
ML40,sad,sad
ML41,angry,angry
ML42,angry,angry
ML43,angry,angry
ML44,angry,angry
ML45,sad,sad
ML46,sad,sad
ML47,sad,sad
ML48,angry,angry
ML49,angry,angry
ML50,angry,angry
ML51,happy,happy
ML52,angry,angry
ML53,sad,sad
ML54,angry,angry
ML55,angry,angry
ML56,angry,angry
ML57,sad,sad
ML58,sad,sad
ML59,relaxed,relaxed
ML60,angry,angry
ML61,angry,angry
ML62,angry,angry
ML63,angry,angry
ML64,angry,angry
ML65,angry,angry
ML66,angry,angry
ML67,angry,angry
ML68,angry,angry
ML69,relaxed,relaxed
ML70,relaxed,relaxed
ML71,relaxed,relaxed
ML72,sad,sad
ML73,happy,happy
ML74,relaxed,relaxed
ML75,relaxed,relaxed
ML76,angry,angry
ML77,sad,sad
ML78,angry,angry
ML79,angry,angry
ML80,happy,happy
ML81,angry,angry
ML82,angry,angry
ML83,happy,happy
ML84,angry,angry
ML85,sad,sad
ML86,sad,sad
ML87,happy,happy
ML88,relaxed,relaxed
ML89,happy,happy
ML90,angry,angry
ML91,happy,happy
ML92,sad,sad
ML93,angry,angry
ML94,relaxed,relaxed
ML95,relaxed,relaxed
ML96,relaxed,relaxed
ML97,angry,angry
ML98,happy,happy
ML99,sad,sad
ML100,happy,happy
