Index,Actual Arousal,Predicted Arousal
ML1,negative,negative
ML2,negative,negative
ML3,negative,negative
ML4,negative,negative
ML5,positive,positive
ML6,positive,positive
ML7,positive,positive
ML8,positive,negative
ML9,positive,positive
ML10,negative,negative
ML11,positive,positive
ML12,negative,negative
ML13,positive,positive
ML14,positive,positive
ML15,positive,positive
ML16,negative,negative
ML17,positive,positive
ML18,positive,positive
ML19,positive,positive
ML20,positive,positive
ML21,negative,negative
ML22,negative,negative
ML23,negative,negative
ML24,positive,positive
ML25,positive,positive
ML26,negative,negative
ML27,positive,positive
ML28,positive,positive
ML29,negative,negative
ML30,negative,negative
ML31,negative,negative
ML32,negative,negative
ML33,negative,negative
ML34,negative,negative
ML35,negative,negative
ML36,positive,positive
ML37,positive,positive
ML38,positive,positive
ML39,positive,positive
ML40,negative,negative
ML41,positive,positive
ML42,positive,positive
ML43,positive,positive
ML44,positive,positive
ML45,negative,negative
ML46,negative,negative
ML47,negative,negative
ML48,positive,positive
ML49,positive,positive
ML50,positive,positive
ML51,positive,positive
ML52,positive,positive
ML53,negative,negative
ML54,positive,positive
ML55,positive,positive
ML56,positive,positive
ML57,negative,negative
ML58,negative,negative
ML59,negative,negative
ML60,positive,positive
ML61,positive,positive
ML62,positive,positive
ML63,positive,positive
ML64,positive,positive
ML65,positive,positive
ML66,positive,positive
ML67,positive,positive
ML68,positive,positive
ML69,negative,negative
ML70,negative,negative
ML71,negative,negative
ML72,negative,negative
ML73,positive,positive
ML74,negative,negative
ML75,negative,negative
ML76,positive,positive
ML77,negative,negative
ML78,positive,positive
ML79,positive,positive
ML80,positive,positive
ML81,positive,positive
ML82,positive,positive
ML83,positive,positive
ML84,positive,positive
ML85,negative,negative
ML86,negative,negative
ML87,positive,positive
ML88,negative,negative
ML89,positive,positive
ML90,positive,positive
ML91,positive,positive
ML92,negative,negative
ML93,positive,positive
ML94,negative,positive
ML95,negative,negative
ML96,negative,negative
ML97,positive,positive
ML98,positive,positive
ML99,negative,negative
ML100,positive,positive
ML101,negative,negative
ML102,negative,negative
ML103,negative,negative
ML104,positive,positive
ML105,positive,positive
ML106,negative,negative
ML107,negative,negative
ML108,negative,negative
ML109,negative,negative
ML110,positive,positive
ML111,negative,negative
ML112,positive,positive
ML113,negative,negative
ML114,positive,positive
ML115,negative,negative
ML116,positive,positive
ML117,positive,positive
ML118,positive,positive
ML119,positive,positive
ML120,negative,negative
ML121,positive,positive
ML122,positive,positive
ML123,negative,negative
ML124,positive,positive
ML125,positive,positive
ML126,positive,positive
ML127,negative,negative
ML128,positive,positive
ML129,negative,negative
ML130,negative,negative
ML131,negative,negative
ML132,positive,positive
ML133,positive,positive
ML134,negative,negative
ML135,positive,positive
ML136,negative,negative
ML137,positive,positive
ML138,positive,positive
ML139,positive,positive
ML140,negative,negative
ML141,positive,positive
ML142,positive,positive
ML143,positive,positive
ML144,negative,negative
ML145,positive,positive
ML146,positive,positive
ML147,negative,negative
ML148,positive,positive
ML149,positive,positive
ML150,negative,negative
