Index,Actual Valence,Predicted Valence
ML1,positive,positive
ML2,positive,positive
ML3,positive,positive
ML4,positive,positive
ML5,negative,negative
ML6,positive,positive
ML7,negative,negative
ML8,negative,positive
ML9,positive,positive
ML10,positive,positive
ML11,positive,positive
ML12,positive,positive
ML13,positive,positive
ML14,positive,positive
ML15,positive,positive
ML16,negative,negative
ML17,positive,positive
ML18,positive,positive
ML19,negative,negative
ML20,negative,negative
ML21,positive,positive
ML22,positive,positive
ML23,negative,negative
ML24,positive,positive
ML25,positive,positive
ML26,negative,negative
ML27,negative,negative
ML28,positive,positive
ML29,positive,positive
ML30,positive,positive
ML31,negative,negative
ML32,positive,positive
ML33,positive,positive
ML34,negative,negative
ML35,positive,positive
ML36,positive,positive
ML37,negative,negative
ML38,positive,positive
ML39,positive,positive
ML40,negative,negative
ML41,negative,negative
ML42,negative,negative
ML43,negative,negative
ML44,negative,negative
ML45,negative,negative
ML46,negative,negative
ML47,negative,negative
ML48,negative,negative
ML49,negative,negative
ML50,negative,negative
ML51,positive,positive
ML52,negative,negative
ML53,negative,negative
ML54,negative,negative
ML55,negative,negative
ML56,negative,negative
ML57,negative,negative
ML58,negative,negative
ML59,positive,positive
ML60,negative,negative
ML61,negative,negative
ML62,negative,negative
ML63,negative,negative
ML64,negative,negative
ML65,negative,negative
ML66,negative,negative
ML67,negative,negative
ML68,negative,negative
ML69,positive,positive
ML70,positive,positive
ML71,positive,positive
ML72,negative,negative
ML73,positive,positive
ML74,positive,positive
ML75,positive,positive
ML76,negative,negative
ML77,negative,negative
ML78,negative,negative
ML79,negative,negative
ML80,positive,positive
ML81,negative,negative
ML82,negative,negative
ML83,positive,positive
ML84,negative,negative
ML85,negative,negative
ML86,negative,negative
ML87,positive,positive
ML88,positive,positive
ML89,positive,positive
ML90,negative,negative
ML91,positive,positive
ML92,negative,negative
ML93,negative,negative
ML94,positive,positive
ML95,positive,positive
ML96,positive,positive
ML97,negative,negative
ML98,positive,positive
ML99,negative,negative
ML100,positive,positive
ML101,positive,positive
ML102,negative,negative
ML103,negative,negative
ML104,negative,negative
ML105,positive,positive
ML106,positive,positive
ML107,positive,positive
ML108,positive,positive
ML109,positive,positive
ML110,positive,positive
ML111,positive,positive
ML112,negative,negative
ML113,positive,positive
ML114,positive,positive
ML115,positive,positive
ML116,positive,positive
ML117,positive,positive
ML118,negative,negative
ML119,positive,positive
ML120,negative,negative
ML121,positive,positive
ML122,positive,positive
ML123,negative,negative
ML124,negative,negative
ML125,positive,positive
ML126,negative,negative
ML127,positive,positive
ML128,negative,negative
ML129,negative,negative
ML130,positive,positive
ML131,negative,negative
ML132,positive,positive
ML133,positive,positive
ML134,negative,negative
ML135,positive,positive
ML136,positive,positive
ML137,positive,positive
ML138,positive,positive
ML139,negative,negative
ML140,negative,negative
ML141,positive,positive
ML142,negative,negative
ML143,positive,positive
ML144,negative,negative
ML145,negative,negative
ML146,negative,negative
ML147,negative,negative
ML148,negative,negative
ML149,positive,positive
ML150,negative,negative
