Word,Method,Pos,Happy,Angry,Sad,Relaxed
yeah,upos,INTJ,500,500,500,500
yeah,xpos,UH,500,500,500,500
right,upos,ADV,500,500,500,500
right,upos,INTJ,500,500,500,500
right,upos,ADJ,499,497,500,496
right,upos,NOUN,482,468,486,481
right,upos,VERB,196,296,290,297
right,xpos,RB,500,500,500,500
right,xpos,UH,500,500,500,500
right,xpos,JJ,499,497,500,496
right,xpos,NN,482,468,486,481
right,xpos,VB,196,296,290,297
usher,upos,NOUN,500,500,500,500
usher,xpos,NN,500,500,500,500
baby,upos,NOUN,500,500,500,500
baby,upos,ADJ,490,494,497,492
baby,upos,VERB,485,473,488,483
baby,upos,PROPN,335,393,393,408
baby,xpos,NN,500,500,500,500
baby,xpos,NNS,492,495,499,493
baby,xpos,JJ,490,494,497,492
baby,xpos,VB,485,473,488,483
baby,xpos,NNP,335,393,393,408
okay,upos,INTJ,500,500,500,500
okay,upos,ADJ,500,499,500,496
okay,xpos,UH,500,500,500,500
okay,xpos,JJ,500,499,500,496
man,upos,NOUN,500,500,500,500
man,upos,VERB,232,320,322,324
man,xpos,NN,500,500,500,500
man,xpos,NNS,486,491,494,487
man,xpos,VBP,232,320,322,324
there,upos,PRON,500,500,500,500
there,upos,ADV,500,500,500,497
there,upos,VERB,433,427,462,455
there,xpos,EX,500,500,500,500
there,xpos,RB,500,500,500,497
there,xpos,VBZ,433,427,462,455
there,xpos,VBN,291,365,359,375
there,xpos,PRP$,288,364,358,371
go,upos,VERB,500,500,500,500
go,upos,AUX,500,500,500,500
go,upos,NOUN,499,499,500,496
go,upos,PART,492,495,499,493
go,upos,PRON,39,192,162,173
go,upos,INTJ,13,166,134,157
go,xpos,VBZ,500,500,500,500
go,xpos,MD,500,500,500,500
go,xpos,VBD,500,500,500,499
go,xpos,VBG,500,500,500,496
go,xpos,VB,500,499,500,496
go,xpos,VBP,499,499,500,496
go,xpos,NN,499,499,500,496
go,xpos,VBN,499,497,500,496
go,xpos,TO,492,495,499,493
go,xpos,PRP,39,192,162,173
go,xpos,UH,13,166,134,157
my,upos,PRON,500,500,500,500
my,upos,INTJ,439,438,466,459
my,xpos,PRP$,500,500,500,500
my,xpos,UH,439,438,466,459
you,upos,PRON,500,500,500,500
you,upos,AUX,499,497,500,496
you,upos,PART,371,403,408,427
you,xpos,PRP,500,500,500,500
you,xpos,PRP$,500,500,500,500
you,xpos,MD,499,497,500,496
you,xpos,TO,371,403,408,427
you,xpos,VBD,85,223,196,210
do,upos,AUX,500,500,500,500
do,upos,VERB,500,500,500,500
do,upos,NOUN,132,257,233,247
do,xpos,VBP,500,500,500,500
do,xpos,VB,500,500,500,496
do,xpos,VBD,500,499,500,496
do,xpos,VBN,498,497,500,496
do,xpos,VBZ,492,497,499,494
do,xpos,VBG,485,481,488,486
do,xpos,NN,132,257,233,247
not,upos,PART,500,500,500,500
not,upos,ADV,486,491,494,487
not,xpos,RB,500,500,500,500
not,xpos,TO,188,292,284,285
know,upos,VERB,500,500,500,500
know,xpos,VB,500,500,500,500
know,xpos,VBG,500,500,500,496
know,xpos,VBP,499,499,500,496
know,xpos,VBN,499,497,500,496
know,xpos,VBD,497,497,500,495
know,xpos,VBZ,487,493,495,487
how,upos,ADV,500,500,500,500
how,upos,VERB,364,401,402,421
how,upos,NOUN,24,172,148,162
how,xpos,WRB,500,500,500,500
how,xpos,VB,364,401,402,421
how,xpos,VBZ,234,320,324,325
how,xpos,NN,24,172,148,162
good,upos,ADJ,500,500,500,500
good,upos,NOUN,451,444,468,462
good,xpos,JJ,500,500,500,500
good,xpos,NN,451,444,468,462
it,upos,PRON,500,500,500,500
it,upos,NOUN,406,422,443,445
it,upos,PUNCT,406,422,443,445
it,upos,X,406,422,443,445
it,upos,PROPN,406,422,427,445
it,upos,ADP,406,422,426,445
it,xpos,PRP,500,500,500,500
it,xpos,NN,406,422,443,445
it,xpos,'',406,422,443,445
it,xpos,FW,406,422,443,445
it,xpos,NNP,406,422,427,445
it,xpos,IN,406,422,426,445
feel,upos,VERB,500,500,500,500
feel,upos,NOUN,498,497,500,496
feel,xpos,VBZ,500,500,500,500
feel,xpos,VB,500,500,500,500
feel,xpos,VBP,500,500,500,500
feel,xpos,VBG,500,500,500,498
feel,xpos,NN,498,497,500,496
feel,xpos,VBD,492,495,499,493
feel,xpos,VBN,468,460,478,469
to,upos,PART,500,500,500,500
to,upos,ADP,500,500,500,500
to,upos,PUNCT,489,494,495,487
to,upos,SCONJ,485,481,488,486
to,upos,SYM,474,462,480,470
to,upos,X,213,311,298,307
to,upos,ADV,0,77,55,50
to,xpos,TO,500,500,500,500
to,xpos,IN,500,500,500,500
to,xpos,.,489,494,495,487
to,xpos,RB,475,462,480,470
to,xpos,NFP,474,462,480,470
to,xpos,GW,213,311,298,307
to,xpos,AFX,178,285,278,274
call,upos,VERB,500,500,500,500
call,upos,NOUN,499,498,500,496
call,xpos,VB,500,500,500,500
call,xpos,VBG,500,500,500,500
call,xpos,NN,499,498,500,496
call,xpos,VBP,485,485,491,487
call,xpos,VBN,485,475,488,486
call,xpos,VBD,475,462,480,471
call,xpos,VBZ,457,453,471,464
call,xpos,NNS,378,411,419,436
girl,upos,NOUN,500,500,500,500
girl,upos,VERB,476,463,480,476
girl,xpos,NN,500,500,500,500
girl,xpos,NNS,498,497,500,496
girl,xpos,VB,476,463,480,476
love,upos,VERB,500,500,500,500
love,upos,NOUN,500,500,500,500
love,upos,ADJ,0,85,66,55
love,xpos,VBG,500,500,500,500
love,xpos,VBP,500,500,500,500
love,xpos,NN,500,500,500,500
love,xpos,VB,499,497,500,496
love,xpos,VBZ,499,497,500,496
love,xpos,VBD,492,495,498,492
love,xpos,VBN,489,494,497,492
love,xpos,NNS,353,396,396,416
love,xpos,JJ,0,85,66,55
everything,upos,PRON,500,500,500,500
everything,xpos,NN,500,500,500,500
oooh,upos,INTJ,500,500,500,500
oooh,xpos,UH,500,500,500,500
look,upos,VERB,500,500,500,500
look,upos,NOUN,496,497,500,494
look,xpos,VB,500,500,500,500
look,xpos,VBG,500,500,500,498
look,xpos,NN,496,497,500,494
look,xpos,VBP,492,495,499,492
look,xpos,VBD,474,462,480,469
look,xpos,VBZ,433,426,460,454
look,xpos,NNS,355,397,398,418
look,xpos,VBN,3,150,126,144
at,upos,ADP,500,500,500,500
at,upos,ADV,486,492,494,487
at,upos,SCONJ,444,440,466,459
at,xpos,IN,500,500,500,500
at,xpos,RB,486,492,494,487
bet,upos,VERB,500,500,500,500
bet,xpos,VBP,500,500,500,500
bet,xpos,VB,456,453,470,464
be,upos,AUX,500,500,500,500
be,upos,VERB,499,499,500,496
be,xpos,VBP,500,500,500,500
be,xpos,VB,500,500,500,500
be,xpos,VBN,500,500,500,500
be,xpos,VBZ,500,500,500,500
be,xpos,VBD,500,499,500,496
be,xpos,VBG,495,497,500,494
be,xpos,MD,492,495,499,493
that,upos,SCONJ,500,500,500,500
that,upos,PRON,500,500,500,500
