word,relaxed,angry,happy,sad
yeah,307,356,329,185
right,222,204,200,145
usher,2,1,1,1
baby,897,305,893,175
okay,4,9,9,14
man,206,143,147,128
go,810,799,669,717
know,633,664,1042,565
good,275,135,249,86
feel,214,262,375,200
call,110,123,68,105
girl,720,147,134,248
love,1127,1001,6819,520
everything,105,117,118,86
oooh,20,6,14,4
look,168,218,163,162
bet,6,9,6,6
check,11,11,26,10
put,52,79,44,39
heel,5,2,3,1
swear,14,11,7,8
body,27,98,26,21
perfect,15,19,13,2
work,48,44,26,38
wooo,2,2,2,3
way,273,312,431,257
pok,2,1,1,3
give,278,186,417,92
something,61,55,83,77
please,87,59,116,62
believe,83,126,151,58
twerk,3,1,1,1
end,33,80,50,49
night,309,182,136,192
wait,95,81,89,125
day,295,193,170,163
wrap,15,9,14,16
hand,84,96,89,80
around,95,89,108,106
waist,5,1,1,8
kiss,41,70,309,61
face,97,69,64,54
would,288,259,367,248
trade,5,4,2,3
feeling,61,91,56,55
nothing,108,139,121,105
sit,68,28,11,24
long,174,62,111,123
take,479,503,340,351
get,763,872,714,703
alone,144,80,96,93
soon,46,20,16,11
come,643,466,472,298
walk,93,75,48,98
hear,109,76,104,75
say,307,445,451,322
chill,4,5,3,1
whenever,18,5,35,14
see,428,357,440,367
place,61,69,64,56
like,481,565,674,387
movie,9,10,2,3
oowee,2,1,1,1
waterfall,5,3,1,1
hair,26,17,5,9
fall,74,166,121,304
taste,12,29,13,10
need,247,192,500,150
creep,12,4,1,12
cause,172,254,278,185
ashamed,2,5,1,5
name,169,43,61,61
even,59,120,66,48
minute,14,2,9,2
first,52,27,35,31
time,385,280,328,479
every,162,115,188,90
together,75,58,87,47
loving,38,19,66,6
better,54,154,63,76
anything,38,18,38,29
heart,214,340,564,137
ring,31,58,12,15
promise,37,24,28,19
away,243,309,176,165
change,62,80,81,35
ahhhhhhhh,2,1,1,1
om,2,1,1,1
mind,144,121,99,76
yea,14,2,16,1
verse1,2,1,1,1
thinkin,13,9,8,5
miss,51,16,47,50
ever,81,89,209,86
since,25,18,24,28
live,121,122,141,99
without,95,59,128,66
chorus,19,21,25,26
always,129,139,276,66
verse2,2,1,1,1
never,312,282,422,207
remain,2,7,4,8
repeat,22,4,8,23
verse3,2,1,1,1
today,13,26,27,20
hope,64,36,76,39
u,12,7,2,2
tomorrow,32,13,17,30
let,410,404,399,294
real,40,50,171,56
want,488,516,717,438
fool,21,29,38,22
belong,23,15,40,26
one,356,384,444,345
else,37,30,38,44
uh,18,37,31,137
oh,597,574,588,345
tell,211,225,320,227
ya,72,86,54,156
club,3,10,3,4
post,3,2,1,2
back,194,191,145,177
bad,26,56,44,35
rocking,3,1,1,1
skirt,3,4,1,3
rock,94,67,66,80
middle,10,8,5,9
finger,13,20,5,7
really,76,69,172,50
fuck,8,63,13,25
diamond,47,8,15,10
chain,4,11,10,22
make,315,328,432,253
sure,50,31,53,32
picture,5,8,7,69
fame,8,7,57,2
thing,184,114,242,112
black,46,35,9,27
guitar,8,7,4,1
rockstar,15,1,10,1
hey,92,89,71,83
big,39,33,19,27
city,43,31,4,19
bright,59,14,13,9
light,102,194,62,73
sleep,191,43,11,47
six,13,18,4,2
inch,6,6,5,2
walker,2,1,1,1
shit,2,11,5,18
talker,2,1,1,1
play,62,54,62,49
victim,4,15,1,7
rather,9,32,7,11
stalker,2,1,1,1
disobey,2,1,1,1
law,14,15,3,6
frisk,2,1,1,1
panty,2,2,1,1
bra,2,1,1,3
wild,17,13,7,3
crazy,32,25,53,26
house,160,23,11,12
white,113,35,10,14
jacket,2,3,1,1
wo,23,32,28,16
sign,29,17,17,27
j,2,1,1,1
holiday,6,30,13,2
oo,9,1,5,2
bed,89,30,9,23
victoria,2,1,1,2
secret,14,18,5,8
alright,29,42,28,17
tonight,143,79,62,70
perfume,5,2,2,2
spray,5,3,1,1
air,36,24,11,27
next,46,11,4,23
finna,2,1,1,1
raise,9,5,2,4
temp,2,1,1,1
room,22,14,7,33
rub,3,7,1,2
touch,80,49,79,38
care,68,51,50,43
stop,34,126,64,57
repay,2,1,2,1
week,8,4,2,7
workin,2,7,1,3
nine,9,6,4,2
five,16,10,6,6
stayin,3,5,1,1
cute,2,2,3,3
everytime,5,1,22,1
touchin,5,3,2,1
mornin,14,1,1,6
wanna,11,9,5,3
