Word,Method,Pos,Count
power,upos,NOUN,32
power,xpos,NN,32
to,upos,ADP,32
to,upos,PART,3
to,xpos,IN,32
to,xpos,TO,3
the,upos,DET,33
the,xpos,DT,33
people,upos,NOUN,32
people,xpos,NNS,32
right,upos,ADV,8
right,xpos,RB,8
on,upos,ADV,8
on,upos,ADP,2
on,xpos,RB,8
on,xpos,IN,2
say,upos,VERB,1
say,xpos,VBP,1
you,upos,PRON,8
you,xpos,PRP,7
you,xpos,PRP$,1
want,upos,VERB,1
want,xpos,VBP,1
a,upos,DET,2
a,xpos,DT,2
revolution,upos,NOUN,1
revolution,xpos,NN,1
we,upos,PRON,3
we,xpos,PRP,3
better,upos,ADV,2
better,xpos,RBR,2
get,upos,VERB,5
get,xpos,VB,1
get,xpos,VBP,1
get,xpos,VBD,3
away,upos,ADV,1
away,xpos,RB,1
well,upos,INTJ,2
well,xpos,UH,2
foot,upos,NOUN,1
foot,xpos,NNS,1
and,upos,CCONJ,2
and,upos,PROPN,1
and,xpos,CC,2
and,xpos,NNP,1
out,upos,ADV,1
out,xpos,RB,1
street,upos,NOUN,1
street,xpos,NN,1
sing,upos,VERB,3
sing,xpos,VBG,3
million,upos,NUM,1
million,xpos,CD,1
worker,upos,NOUN,1
worker,xpos,NNS,1
work,upos,VERB,1
work,xpos,VBG,1
for,upos,ADP,1
for,xpos,IN,1
nothing,upos,PRON,1
nothing,xpos,NN,1
give,upos,VERB,1
give,xpos,VB,1
they,upos,PRON,2
they,xpos,PRP,2
what,upos,PRON,1
what,xpos,WP,1
really,upos,ADV,1
really,xpos,RB,1
own,upos,VERB,1
own,upos,ADJ,1
own,xpos,VBP,1
own,xpos,JJ,1
put,upos,VERB,1
put,xpos,VB,1
dow,upos,PROPN,1
dow,xpos,NNP,1
when,upos,ADV,1
when,xpos,WRB,1
come,upos,VERB,1
come,xpos,VBP,1
into,upos,ADP,1
into,xpos,IN,1
town,upos,NOUN,1
town,xpos,NN,1
I,upos,PRON,1
I,xpos,PRP,1
ask,upos,VERB,1
ask,xpos,VB,1
comrade,upos,NOUN,1
comrade,xpos,NNS,1
brother,upos,NOUN,1
brother,xpos,NNS,1
how,upos,ADV,1
how,xpos,WRB,1
do,upos,AUX,1
do,xpos,VBP,1
treat,upos,VERB,1
treat,xpos,VB,1
woman,upos,NOUN,1
woman,xpos,NN,1
back,upos,ADV,1
back,xpos,RB,1
home,upos,ADV,1
home,xpos,RB,1
she,upos,PRON,2
she,xpos,PRP,2
be,upos,AUX,1
be,xpos,VB,1
herself,upos,PRON,2
herself,xpos,PRP,2
so,upos,ADV,1
so,xpos,RB,1
can,upos,AUX,1
can,xpos,MD,1
free,upos,ADJ,1
free,xpos,JJ,1
now,upos,ADV,4
now,xpos,RB,4
oh,upos,INTJ,1
oh,xpos,UH,1
yeah,upos,INTJ,1
yeah,xpos,UH,1
